Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,23.850000,48.650002,23.200001,38.900002,38.900002,57945
2023-03-01,36.959999,40.740002,28.000000,29.700001,29.700001,35511
2023-04-01,29.110001,38.150002,26.150000,38.150002,38.150002,29446
2023-05-01,40.049999,53.639999,34.000000,44.849998,44.849998,25412
2023-06-01,42.610001,47.090000,35.689999,40.400002,40.400002,40034
2023-07-01,40.990002,41.000000,33.730000,36.500000,36.500000,15392
2023-08-01,35.000000,36.099998,30.700001,32.970001,32.970001,18292
2023-09-01,32.000000,35.990002,31.000000,33.340000,33.340000,17465
2023-10-01,33.490002,37.150002,29.000000,34.480000,34.480000,50361
2023-11-01,37.000000,80.760002,33.799999,72.230003,72.230003,118293
2023-12-01,70.790001,70.790001,48.310001,48.310001,48.310001,7207
2024-01-01,46.060001,64.709999,46.060001,52.500000,52.500000,42967
2024-01-15,53.439999,53.549999,53.439999,53.549999,53.549999,2405
